node_id,lat,lon
599,38.8901839,-77.0787928
600,38.8901679,-77.0788245
601,38.8901156,-77.0789282
602,38.890487,-77.0748446
603,38.8904649,-77.0749794
604,38.8904557,-77.0750204
605,38.8904479,-77.0750722
606,38.8904401,-77.075173
607,38.8904201,-77.0753662
608,38.893151,-77.0718098
609,38.8930855,-77.0719407
610,38.8930301,-77.0720302
611,38.8929753,-77.0721106
612,38.892667,-77.0725413
613,38.8925974,-77.0726377
614,38.8925458,-77.0727102
615,38.8924955,-77.0727956
616,38.892468,-77.0728466
617,38.8924505,-77.0728812
618,38.892394,-77.0729987
619,38.8923372,-77.0731263
620,38.89216,-77.073559
621,38.8921325,-77.0736258
622,38.8919902,-77.073973
623,38.8919644,-77.0740353
624,38.891938,-77.0740959
625,38.8919067,-77.0741661
626,38.8918723,-77.0742408
627,38.891749,-77.0745069
628,38.8917186,-77.0745789
629,38.8916868,-77.0746563
630,38.8916138,-77.0748344
631,38.8915427,-77.0750152
632,38.8911782,-77.0759556
633,38.8911361,-77.076071
634,38.8911003,-77.0761728
635,38.8910383,-77.0763939
636,38.8910048,-77.0765222
637,38.8909068,-77.0768977
638,38.8908769,-77.0770101
639,38.8861222,-77.0752257
640,38.8862129,-77.0750812
641,38.8863057,-77.0748932
642,38.8863837,-77.074735
643,38.8866314,-77.0742331
644,38.8866753,-77.074144
645,38.8866912,-77.0741118
646,38.8867477,-77.0740021
647,38.8868656,-77.0737732
648,38.8870316,-77.073451
649,38.8858964,-77.0799012
650,38.885986,-77.0795756
651,38.8860679,-77.079316
652,38.8861129,-77.0792216
653,38.8863079,-77.0788313
654,38.8871666,-77.0765255
655,38.8871156,-77.076508
656,38.8864904,-77.076294
657,38.8863611,-77.0762498
658,38.886357,-77.0762481
659,38.8863014,-77.0762275
660,38.8860916,-77.0761402
661,38.8807778,-77.0795631
662,38.880819,-77.0795196
663,38.8809653,-77.0793649
664,38.8810653,-77.0792868
665,38.8811494,-77.0792581
666,38.8811613,-77.0792541
667,38.8812583,-77.0792327
668,38.8814504,-77.0791874
669,38.88162,-77.0791244
670,38.8819267,-77.0789482
671,38.8822345,-77.0787228
672,38.8837952,-77.0774008
673,38.8840269,-77.0772045
674,38.8844522,-77.0768595
675,38.8846943,-77.076706
676,38.8849099,-77.0765926
677,38.8850775,-77.0765221
678,38.8851665,-77.0764917
679,38.8852567,-77.076461
680,38.8853179,-77.0764401
681,38.899697,-77.0768256
682,38.8996851,-77.0768249
683,38.8993115,-77.0767997
684,38.8992636,-77.0767483
685,38.8992368,-77.0766766
686,38.8992462,-77.0762771
687,38.8899689,-77.079873
688,38.8900459,-77.0798801
689,38.8900757,-77.0798831
690,38.8904425,-77.079943
691,38.8906612,-77.07997
