poi_id,osm_id,name,lat,lon,amenity,tourism,railway,public_transport,aeroway,shop,leisure,office,building,addr_street,addr_housenumber,addr_city,all_tags_json
2732,,,38.8963997,-77.0762492,,,,,,,,,house,North Ode Street,1810,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1810"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""North Ode Street"", ""building"": ""house"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2733,,,38.896447,-77.0762551,,,,,,,,,house,North Ode Street,1812,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1812"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""North Ode Street"", ""building"": ""house"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2734,,,38.8964853,-77.0762599,,,,,,,,,house,North Ode Street,1814,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1814"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""North Ode Street"", ""building"": ""house"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2735,,,38.8965202,-77.0762643,,,,,,,,,house,North Ode Street,1816,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1816"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""North Ode Street"", ""building"": ""house"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2736,,,38.8965574,-77.0762689,,,,,,,,,house,North Ode Street,1818,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1818"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""North Ode Street"", ""building"": ""house"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2737,,,38.8966007,-77.0762744,,,,,,,,,house,North Ode Street,1820,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1820"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""North Ode Street"", ""building"": ""house"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2738,,,38.896641,-77.0762794,,,,,,,,,house,North Ode Street,1822,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1822"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""North Ode Street"", ""building"": ""house"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2739,,,38.8966814,-77.0762845,,,,,,,,,house,North Ode Street,1824,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1824"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""North Ode Street"", ""building"": ""house"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2740,,,38.8967227,-77.0762897,,,,,,,,,house,North Ode Street,1826,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1826"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""North Ode Street"", ""building"": ""house"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2741,,,38.8967648,-77.0762949,,,,,,,,,house,North Ode Street,1828,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1828"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""North Ode Street"", ""building"": ""house"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2742,,Carydale Apartments,38.8972597,-77.0738805,,,,,,,,,apartments,North Colonial Terrace,1545,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1545"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""North Colonial Terrace"", ""building"": ""apartments"", ""name"": ""Carydale Apartments"", ""source"": ""esri_USDOT_Virgina""}"
2743,,,38.887735,-77.0776603,,,,,,,,,apartments,North Quinn Street,1201,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1201"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""North Quinn Street"", ""building"": ""apartments"", ""building:levels"": ""6"", ""height"": ""13.4"", ""source"": ""esri_USDOT_Virgina""}"
